city,lat,long,temp,max_temp,humidity,wind speed,clouds
Ust-nera,64.57,143.24,-3.01,-3.01,63,2.76,3
Riyadh,24.63,46.72,28.0,28.0,28,2.1,0
Cape Town,-33.93,18.42,14.74,16.11,76,4.1,0
Beian,63.66,9.57,10.3,10.56,76,6.2,0
Mataura,-46.19,168.86,5.56,5.56,78,3.13,100
Tulun,54.56,100.58,8.69,8.69,95,0.07,0
Mataura,-46.19,168.86,5.56,5.56,78,3.13,100
Elko,40.83,-115.76,23.34,23.89,34,3.13,0
Dikson,73.51,80.55,2.79,2.79,96,9.07,100
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Bluff,-23.58,149.07,23.89,23.89,53,5.5,45
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Sitka,37.17,-99.65,28.36,29.44,56,5.81,48
Lamu,35.77,102.37,6.49,6.49,67,0.15,7
Lompoc,34.64,-120.46,27.5,33.89,47,5.7,1
Avarua,-21.21,-159.78,24.0,24.0,64,6.2,25
Paita,-5.09,-81.11,17.29,17.29,92,7.47,34
Bethel,60.79,-161.76,10.31,11.0,57,8.2,75
Saint-philippe,45.36,-73.48,13.99,15.0,87,3.1,90
Qaanaaq,77.48,-69.36,-6.31,-6.31,87,2.57,96
Bonavista,48.65,-53.11,7.22,7.22,86,4.02,85
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Yar-sale,66.83,70.83,2.29,2.29,91,7.5,94
Georgetown,6.8,-58.16,27.93,29.0,74,5.1,40
Tual,-5.67,132.75,25.59,25.59,82,8.2,63
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Tura,64.27,100.22,2.49,2.49,88,4.16,29
Sechura,-5.56,-80.82,17.69,17.69,88,5.52,46
Arraial Do Cabo,-22.97,-42.02,20.0,20.0,64,4.1,0
Atuona,-9.8,-139.03,26.49,26.49,76,8.03,0
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Lakatoro,-16.11,167.42,28.0,28.0,65,4.6,87
Joshimath,30.57,79.57,9.99,9.99,81,1.58,36
Nemuro,43.32,145.57,18.0,18.0,52,4.6,20
Dukat,40.25,19.57,20.56,20.56,78,2.68,1
Bredasdorp,-34.53,20.04,13.6,14.0,67,6.2,20
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Iqaluit,63.75,-68.52,2.89,3.0,83,1.5,75
Tasiilaq,65.61,-37.64,5.0,5.0,93,3.1,100
Kiunga,-6.12,141.3,26.09,26.09,76,1.9,93
Beinamar,8.67,15.38,22.29,22.29,94,1.37,69
Tasiilaq,65.61,-37.64,5.0,5.0,93,3.1,100
Valle Nacional,25.06,-104.49,25.09,25.09,49,3.17,67
Kodiak,39.95,-94.76,23.26,24.0,78,4.6,1
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Bredasdorp,-34.53,20.04,13.6,14.0,67,6.2,20
Tuktoyaktuk,69.44,-133.03,5.0,5.0,80,1.5,20
Fortuna,40.6,-124.16,21.53,26.11,82,6.2,1
Yellowknife,62.45,-114.38,6.83,7.0,65,4.6,75
New Norfolk,-42.78,147.06,12.52,13.33,46,2.6,75
Ancud,-41.87,-73.83,10.0,10.0,100,1.5,0
Tiksi,71.64,128.87,1.99,1.99,82,5.91,59
Calabasas,34.14,-118.64,27.21,35.56,64,5.7,1
Kavieng,-2.57,150.8,28.99,28.99,68,3.12,100
Kaeo,-35.1,173.78,14.89,14.89,64,7.68,3
Sinjar,35.59,37.0,17.49,17.49,74,2.24,0
Pirgos,35.12,25.72,23.32,24.44,83,5.62,20
Rodino,52.5,80.2,7.49,7.49,52,1.3,86
Fuengirola,36.54,-4.62,23.86,26.67,41,6.2,0
Barrow,-38.31,-60.23,13.09,13.09,54,1.17,0
Mar Del Plata,-46.43,-67.52,16.99,16.99,37,4.33,3
Atuona,-9.8,-139.03,26.49,26.49,76,8.03,0
Healdsburg,38.61,-122.87,33.72,37.78,14,4.6,1
Thompson,55.74,-97.86,10.0,10.0,76,7.7,90
Omagari,39.45,140.48,20.0,20.0,45,5.7,40
Miranda De Ebro,42.69,-2.95,15.4,17.22,93,1.0,75
Atambua,-9.11,124.89,25.29,25.29,75,2.74,39
Beringovskiy,63.05,179.32,3.19,3.19,63,3.44,30
Cape Town,-33.93,18.42,14.74,16.11,76,4.1,0
Port Elizabeth,39.31,-74.98,20.02,23.0,63,2.6,1
Khandyga,62.65,135.58,4.29,4.29,59,3.4,0
Ponta Do Sol,-20.63,-46.0,19.79,19.79,74,2.13,51
Khatanga,71.98,102.47,0.99,0.99,78,4.7,54
Ambilobe,-13.19,49.05,23.69,23.69,75,4.44,73
Wasilla,61.58,-149.44,10.59,12.0,53,2.6,1
Hilo,19.71,-155.08,26.75,30.0,55,5.1,75
Cherskiy,68.75,161.3,1.39,1.39,59,3.6,0
Menden,51.44,7.8,13.56,15.0,100,3.6,100
Jamestown,-33.21,138.6,15.39,15.39,53,4.73,0
Luchegorsk,46.44,134.3,10.59,10.59,54,3.77,0
Provideniya,64.42,-173.23,4.0,4.0,91,3.0,75
Kavieng,-2.57,150.8,28.99,28.99,68,3.12,100
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Lamar,38.09,-102.62,31.0,31.0,18,2.1,1
Sitka,37.17,-99.65,28.36,29.44,56,5.81,48
Bredasdorp,-34.53,20.04,13.6,14.0,67,6.2,20
Pasni,25.26,63.48,27.49,27.49,82,1.97,33
Teseney,15.11,36.66,27.09,27.09,66,7.37,35
Leninskoye,54.82,82.85,3.0,3.0,74,3.0,0
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Katsuura,33.93,134.5,23.6,25.56,69,4.1,20
Lixourion,38.2,20.43,21.11,21.11,75,3.13,0
Atuona,-9.8,-139.03,26.49,26.49,76,8.03,0
Nikolskoye,59.7,30.79,1.73,5.0,94,1.0,0
Hobart,-42.88,147.33,12.51,13.33,46,2.6,75
Georgetown,6.8,-58.16,27.93,29.0,74,5.1,40
Antalya,36.9,30.69,22.85,23.0,78,1.0,75
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Tucurui,-3.77,-49.67,24.19,24.19,86,0.77,54
Avarua,-21.21,-159.78,24.0,24.0,60,6.2,25
Cape Town,-33.93,18.42,14.73,16.11,76,4.1,0
Busselton,-33.64,115.35,16.43,18.33,62,6.23,62
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Iquique,-20.22,-70.14,16.0,16.0,77,4.1,90
Ust-maya,60.42,134.54,3.09,3.09,76,3.47,6
Butaritari,3.07,172.79,29.09,29.09,75,5.69,25
Cidreira,-30.17,-50.22,15.79,15.79,90,3.56,0
Sheridan,39.65,-105.03,25.05,28.0,10,3.6,20
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Puri,-7.54,112.45,26.19,26.19,69,5.0,79
Verkhnevilyuysk,63.45,120.31,2.99,2.99,86,0.92,47
Avarua,-21.21,-159.78,24.0,24.0,60,6.2,25
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Monrovia,6.33,-10.8,25.0,25.0,94,2.85,75
Santa Cruz Cabralia,-16.28,-39.02,23.0,23.0,69,4.1,90
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Ilhabela,-23.78,-45.36,20.29,20.29,82,8.52,86
Tasiilaq,65.61,-37.64,5.0,5.0,93,3.1,100
Upernavik,72.79,-56.15,1.99,1.99,88,4.4,100
Hatod,22.65,75.01,23.39,23.39,89,2.55,68
Puerto Ayora,-0.74,-90.35,21.59,23.0,69,4.6,0
Cape Town,-33.93,18.42,14.73,16.11,76,4.1,0
Zhanaozen,43.35,52.85,15.49,15.49,48,4.3,84
Kvarkeno,52.08,59.73,1.29,1.29,84,3.29,75
Myitkyina,25.38,97.4,18.49,18.49,99,0.28,100
Sokoto,13.06,5.24,28.59,28.59,54,3.94,30
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Bredasdorp,-34.53,20.04,13.94,14.0,67,6.2,20
Zhaoyuan,45.52,125.08,16.69,16.69,48,6.24,0
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Chokurdakh,70.62,147.9,-1.01,-1.01,62,3.1,0
Tasiilaq,65.61,-37.64,5.0,5.0,93,3.1,100
Lebu,8.96,38.73,13.29,13.29,89,0.54,89
Maceio,-9.67,-35.74,24.0,24.0,83,2.6,20
Narsaq,60.91,-46.05,7.0,7.0,52,2.6,75
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Leningradskiy,69.38,178.42,1.49,1.49,97,3.65,100
Vardo,39.62,-77.74,17.72,20.56,63,3.1,40
Hilo,19.71,-155.08,24.88,30.0,55,5.1,75
Turzovka,49.41,18.63,11.24,12.22,93,0.5,0
Beringovskiy,63.05,179.32,3.19,3.19,63,3.44,30
Carnarvon,-30.97,22.13,6.79,6.79,83,8.7,0
Ilulissat,69.22,-51.1,3.0,3.0,86,6.23,86
Vila Velha,-3.71,-38.6,26.0,26.0,78,5.1,20
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Kapaa,22.08,-159.32,28.52,30.0,66,3.6,40
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Siavonga,-16.54,28.71,23.59,23.59,52,1.99,78
Lebu,8.96,38.73,13.29,13.29,89,0.54,89
Novoagansk,61.94,76.66,0.39,0.39,93,6.52,95
Barbosa,5.93,-73.61,19.39,19.39,94,1.04,83
Fairbanks,64.84,-147.72,6.16,6.67,60,2.6,90
Bredasdorp,-34.53,20.04,13.94,14.0,67,6.2,20
Acapulco,16.86,-99.88,29.0,29.0,79,1.0,75
Gonaives,19.45,-72.68,25.09,25.09,89,2.26,100
Chuy,-33.69,-53.46,12.79,12.79,85,3.51,0
Kavieng,-2.57,150.8,28.99,28.99,68,3.12,100
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Tiksi,71.64,128.87,1.99,1.99,82,5.91,59
Vostok,46.45,135.83,7.39,7.39,63,3.38,0
Ancud,-41.87,-73.83,10.0,10.0,100,1.5,0
Dubbo,-32.25,148.6,17.0,17.0,40,4.6,38
Tuktoyaktuk,69.44,-133.03,5.0,5.0,80,1.5,20
Homer,59.64,-151.54,8.97,11.0,71,5.1,90
Cape Town,-33.93,18.42,14.74,16.11,76,4.1,0
Saint George,39.45,22.34,16.0,16.0,100,1.82,40
Kapaa,22.08,-159.32,28.52,30.0,66,3.6,40
Ancud,-41.87,-73.83,10.0,10.0,100,1.5,0
Jaciara,-15.95,-54.98,28.59,28.59,42,1.69,25
Monze,-16.28,27.48,20.69,20.69,39,3.62,36
Murdochville,48.96,-65.49,4.89,4.89,94,2.22,100
Sibolga,1.74,98.78,26.99,26.99,78,2.48,85
Kapaa,22.08,-159.32,28.52,30.0,66,3.6,40
Provideniya,64.42,-173.23,4.0,4.0,91,3.0,75
Vinh,18.67,105.69,22.29,22.29,80,1.36,5
Tiksi,71.64,128.87,1.99,1.99,82,5.91,59
Miravci,41.31,22.44,14.68,15.56,98,1.34,69
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Mataura,-46.19,168.86,5.56,5.56,78,3.13,100
Bredasdorp,-34.53,20.04,13.6,14.0,67,6.2,20
Bluff,-23.58,149.07,23.89,23.89,53,5.5,45
Sorland,67.67,12.69,10.29,10.29,50,0.76,61
Santa Cruz,-6.22,-36.02,22.39,22.39,70,8.68,66
Butaritari,3.07,172.79,29.09,29.09,75,5.69,25
Castro,-42.48,-73.76,10.0,10.0,100,1.5,0
Saint-philippe,45.36,-73.48,14.01,15.0,87,2.32,90
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Punta Arenas,-53.16,-70.91,6.83,7.0,75,4.6,40
Carnarvon,-30.97,22.13,6.79,6.79,83,8.7,0
Kaitangata,-46.28,169.85,6.11,6.11,67,6.26,95
Ilulissat,69.22,-51.1,3.0,3.0,86,6.23,86
Saskylakh,71.97,114.09,1.19,1.19,93,3.78,98
Bambous Virieux,-20.34,57.76,21.83,22.0,88,5.7,75
Bredasdorp,-34.53,20.04,13.6,14.0,67,6.2,20
Mataura,-46.19,168.86,5.56,5.56,78,3.13,100
Isangel,-19.55,169.27,26.0,26.0,61,4.1,75
Jiuquan,39.73,98.49,14.89,14.89,23,1.18,0
Lompoc,34.64,-120.46,27.42,32.78,27,3.6,1
Soubre,5.79,-6.61,21.79,21.79,99,1.33,45
Basco,40.33,-91.2,20.75,22.78,53,3.6,1
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Busselton,-33.64,115.35,16.26,18.33,63,6.23,62
Guerrero Negro,27.97,-114.04,20.39,20.39,86,6.62,39
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
Tabou,4.42,-7.36,23.69,23.69,95,1.66,72
Halifax,44.65,-63.58,15.97,17.22,100,4.1,90
San Luis,-33.3,-66.34,21.99,21.99,17,4.93,0
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Avarua,-21.21,-159.78,24.0,24.0,60,6.2,25
Punta Arenas,-53.16,-70.91,6.84,7.0,75,4.6,40
Saint George,39.45,22.34,16.0,16.0,100,1.82,40
Leningradskiy,69.38,178.42,1.49,1.49,97,3.65,100
Mataura,-46.19,168.86,5.56,5.56,79,2.24,100
Kodiak,39.95,-94.76,23.1,24.0,83,4.6,40
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Ahipara,-35.17,173.16,17.78,17.78,87,13.06,58
Pirojpur,22.58,89.97,24.69,24.69,93,2.3,100
Kodiak,39.95,-94.76,23.26,24.0,78,4.6,1
Rocha,-34.48,-54.34,11.89,11.89,83,1.23,0
Ahipara,-35.17,173.16,17.78,17.78,87,13.06,58
Playa Vicente,17.83,-95.81,29.44,29.44,68,1.17,52
Mayumba,-3.44,10.65,24.79,24.79,89,6.33,98
Fukue,35.03,136.69,26.57,27.78,57,5.1,40
Clyde River,70.47,-68.59,-2.0,-2.0,92,1.0,1
Trinidad,-14.83,-64.9,30.09,30.09,36,2.37,8
Lompoc,34.64,-120.46,27.42,32.78,27,3.6,1
Saint-philippe,45.36,-73.48,14.01,15.0,87,2.32,90
Champerico,16.38,-93.6,26.0,26.0,78,3.1,90
Yellowknife,62.45,-114.38,6.83,7.0,65,4.6,75
Saint Anthony,43.97,-111.68,19.34,22.0,40,5.7,1
Dikson,73.51,80.55,2.79,2.79,96,9.07,100
Vaini,15.34,74.49,22.0,22.0,94,1.0,75
Valley City,46.92,-98.0,17.76,19.0,67,4.1,20
Tiksi,71.64,128.87,1.99,1.99,82,5.91,59
Port Alfred,-33.59,26.89,12.78,12.78,72,0.89,61
Dikson,73.51,80.55,2.79,2.79,96,9.07,100
Rikitea,-23.12,-134.97,21.69,21.69,65,1.97,76
Ushuaia,-54.81,-68.31,7.0,7.0,70,2.1,75
